symbol,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,hold_days,exit_reason,capital_after
MA,多,2019-02-20,2019-03-01,2481.0,2613.4962,1,1307.1312633000005,9,ATR止盈,11307.1312633
RM,多,2019-02-21,2019-03-04,2110.0,2181.422,1,699.2000230000002,11,ATR止盈,12006.3312863
TA,多,2019-02-28,2019-03-04,6360.0,6639.843428571428,1,1376.4674168571419,4,ATR止盈,13382.798703157141
TA,空,2019-03-07,2019-03-13,6770.0,6486.931714285714,1,1392.141798071428,6,ATR止盈,14774.94050122857
TA,多,2019-03-18,2019-03-28,6410.0,6370.0,1,-222.365,10,超时10天,14552.57550122857
MA,多,2019-03-19,2019-03-29,2462.0,2384.0,1,-796.961,10,超时10天,13755.61450122857
RM,空,2019-03-20,2019-04-01,2222.0,2180.0,1,404.593,12,超时12天,14160.207501228571
TA,多,2019-03-29,2019-04-02,6356.0,6592.128342857143,1,1157.9824896857162,4,ATR止盈,15318.189990914289
TA,空,2019-04-09,2019-04-19,6206.0,6006.0,1,978.629,10,超时10天,16296.81899091429
M,空,2019-04-19,2019-04-29,2608.0,2566.0,1,401.891,10,超时10天,16698.70999091429
RM,多,2019-04-26,2019-05-06,2182.0,2184.0,1,4.718999999999999,10,超时10天,16703.42899091429
RM,多,2019-05-07,2019-05-09,2182.0,2234.2935428571427,1,507.4784011714271,2,ATR止盈,17210.907392085715
RM,空,2019-05-17,2019-05-21,2342.0,2421.0298683999995,1,-806.9692885393948,4,硬止损,16403.93810354632
MA,空,2019-05-22,2019-05-24,2535.0,2442.2072857142857,1,910.5069173571428,2,ATR止盈,17314.445020903462
M,空,2019-05-17,2019-05-27,2730.0,2818.218545999999,1,-901.6042249109915,10,硬止损,16412.84079599247
RM,空,2019-05-22,2019-05-29,2424.0,2510.9932847999994,1,-887.205324496794,7,硬止损,15525.635471495676
M,空,2019-05-28,2019-05-29,2832.0,2938.0729663999996,1,-1080.924919382396,1,硬止损,14444.71055211328
RM,空,2019-05-30,2019-06-06,2576.0,2457.7705142857144,1,1164.676660342856,7,ATR止盈,15609.387212456135
M,空,2019-05-30,2019-06-10,2969.0,2859.2633428571426,1,1076.9676497285743,11,ATR止盈,16686.354862184708
TA,空,2019-06-25,2019-06-27,5680.0,5963.665135999999,1,-1438.7020939879935,2,硬止损,15247.652768196715
TA,空,2019-06-28,2019-07-01,5902.0,6204.4786804,1,-1533.5797396906978,3,硬止损,13714.073028506016
