symbol,initial_capital,final_capital,total_return_pct,annual_return_pct,total_trades,long_trades,short_trades,long_win_rate,short_win_rate,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_ratio,calmar_ratio
RB,10000,11490.372868367373,14.903728683673734,2.344044203544149,22,4,18,50.0,55.55555555555556,54.54545454545454,0.9508744216910526,-32.11987835703224,0.21904656219246604,0.07297799130770836
MA,10000,4686.004715644224,-53.13995284355776,-11.875593061367184,31,17,14,52.94117647058824,35.714285714285715,45.16129032258064,0.7090729015504827,-64.7724103130368,-0.5394776257670243,-0.18334338654334395
FG,10000,2138.5191568706086,-78.61480843129391,-22.68287088589388,12,0,12,0.0,16.666666666666664,16.666666666666664,0.32962989901820156,-78.61480843129391,-0.9582847653439812,-0.28853178349620695
SA,10000,4002.409700794995,-59.975902992050045,-14.162934904731916,7,1,6,0.0,33.33333333333333,28.57142857142857,0.7011842751941562,-66.0302886088164,-0.6405643190187239,-0.2144914887262945
M,10000,6599.086975294344,-34.00913024705653,-6.697481117537074,29,14,15,35.714285714285715,46.666666666666664,41.37931034482759,1.0777525995404083,-47.900612149891295,-0.19199582123049588,-0.13982036589802274
CS,10000,10014.301912106186,0.1430191210618489,0.023838646694618326,41,13,28,53.84615384615385,39.285714285714285,43.90243902439025,1.2792194388160287,-28.29274105898991,0.10267937862357462,0.000842571126103163
FB,10000,7430.709328981673,-25.692906710183234,-4.832135765417689,22,15,7,33.33333333333333,28.57142857142857,31.818181818181817,0.660476066467683,-26.6497750645117,-0.9296973909660645,-0.18131994561756828
RM,10000,17151.99145673848,71.51991456738483,9.41558168154295,43,21,22,61.904761904761905,54.54545454545454,58.139534883720934,1.0340237105576306,-23.895620857752775,0.5393443597726305,0.39402958967220675
V,10000,6842.548527589455,-31.574514724105445,-6.132013195681996,20,6,14,16.666666666666664,57.14285714285714,45.0,0.8223270307891156,-36.994722726816306,-0.20210241365843054,-0.16575372765902888
TA,10000,12832.768055527862,28.327680555278622,4.247525765553051,19,8,11,50.0,54.54545454545454,52.63157894736842,1.2916093940096822,-14.291812114233613,0.3299032587146178,0.2971999443879354
L,10000,4877.951565038178,-51.220484349618225,-11.283583470109127,13,4,9,25.0,33.33333333333333,30.76923076923077,1.0034787508118608,-51.220484349618225,-0.387680867081907,-0.22029435319451893
PP,10000,8509.193030583981,-14.908069694160183,-2.6565519190461906,19,5,14,0.0,64.28571428571429,47.368421052631575,0.9462128759344731,-42.397972459646624,-0.011429427156063519,-0.06265752263447581
EG,10000,6831.089959452606,-31.689100405473948,-6.1582480871447025,4,0,4,0.0,0.0,0.0,0.0,-31.689100405473937,-0.6817034326297358,-0.19433331992223213
UR,10000,6613.5982105460835,-33.864017894539174,-6.663293999050024,24,14,10,50.0,20.0,37.5,1.4328041469371917,-69.88020739869397,-0.07893268997355447,-0.09535309420353205
HC,10000,8000.092331390013,-19.999076686099865,-3.6530204181206782,2,0,2,0.0,0.0,0.0,0.0,-19.99907668609987,-0.5869307740732939,-0.18265945350665455
SM,10000,10442.123600473484,4.421236004734818,0.7241512335409261,30,8,22,62.5,40.909090909090914,46.666666666666664,1.1716733619920867,-42.6609818263173,0.15036517183943782,0.01697455619959974
SF,10000,3593.575336600584,-64.06424663399416,-15.691689426885002,11,3,8,33.33333333333333,25.0,27.27272727272727,0.9879618594185177,-70.57953642889262,-0.542511059784338,-0.22232633169380536
AP,10000,7394.280083838012,-26.057199161619877,-4.9101089206403215,1,0,1,0.0,0.0,0.0,0.0,-26.05719916161988,-0.4186208231827764,-0.18843579043877093
