日期: 2020-04-02 00:00:00, 品种: RM, 方向: -1, 入场价: 2509.00, 出场价: 2371.50, 盈亏: 1357.94, 原因: ATR止盈, 持仓天数: 3, 资金: 11357.94
日期: 2020-05-20 00:00:00, 品种: TA, 方向: -1, 入场价: 3584.00, 出场价: 3726.15, 盈亏: -723.52, 原因: 硬止损, 持仓天数: 2, 资金: 10634.42
日期: 2020-05-28 00:00:00, 品种: TA, 方向: -1, 入场价: 3740.00, 出场价: 3654.00, 盈亏: 417.06, 原因: 超时7天, 持仓天数: 7, 资金: 11051.48
日期: 2020-07-14 00:00:00, 品种: MA, 方向: -1, 入场价: 1810.00, 出场价: 1814.00, 盈亏: -52.68, 原因: 超时7天, 持仓天数: 7, 资金: 10998.79
日期: 2020-07-27 00:00:00, 品种: RM, 方向: -1, 入场价: 2425.00, 出场价: 2476.99, 盈亏: -537.01, 原因: 硬止损, 持仓天数: 6, 资金: 10461.79
日期: 2020-08-12 00:00:00, 品种: TA, 方向: -1, 入场价: 3676.00, 出场价: 3823.87, 盈亏: -752.48, 原因: 硬止损, 持仓天数: 2, 资金: 9709.31
日期: 2020-08-20 00:00:00, 品种: TA, 方向: -1, 入场价: 3794.00, 出场价: 3728.00, 盈亏: 316.84, 原因: 超时7天, 持仓天数: 7, 资金: 10026.15
日期: 2020-08-26 00:00:00, 品种: MA, 方向: -1, 入场价: 1925.00, 出场价: 1965.00, 盈亏: -413.62, 原因: 超时7天, 持仓天数: 7, 资金: 9612.53
日期: 2020-08-31 00:00:00, 品种: TA, 方向: -1, 入场价: 3720.00, 出场价: 3748.00, 盈亏: -153.07, 原因: 超时7天, 持仓天数: 7, 资金: 9459.46
日期: 2020-09-03 00:00:00, 品种: MA, 方向: -1, 入场价: 1966.00, 出场价: 2027.00, 盈亏: -623.98, 原因: 超时7天, 持仓天数: 7, 资金: 8835.49
日期: 2020-09-11 00:00:00, 品种: MA, 方向: -1, 入场价: 2020.00, 出场价: 2002.00, 盈亏: 165.92, 原因: 超时7天, 持仓天数: 7, 资金: 9001.41
日期: 2020-09-21 00:00:00, 品种: RM, 方向: -1, 入场价: 2427.00, 出场价: 2454.00, 盈亏: -287.08, 原因: 超时7天, 持仓天数: 7, 资金: 8714.33
日期: 2020-09-24 00:00:00, 品种: MA, 方向: -1, 入场价: 2083.00, 出场价: 1990.44, 盈亏: 911.34, 原因: ATR止盈, 持仓天数: 7, 资金: 9625.66
